"","LID","License Number","License Type","Status","Licensee","Premises","Premises Address","Premises Mailing Address","Premises Owner","Premises Manager","County","Municipality","Last Issue Date","Expiration Date","lon","lat"
"1",126888,"AB58312","Alcohol Beverage","Active","SPRUCE STREET BEVERAGES LLC","SPRUCE STREET BEVERAGES LLC","3450 SALMON ST 1ST FL, PHILADELPHIA PA 19134-6025","3450 SALMON ST 1ST FL, PHILADELPHIA PA 19134-6025",NA,NA,"Philadelphia County","Philadelphia City","Dec 30,2024","Dec 31,2028",-75.0956074,39.9872425
"2",197,"AE454","Alcohol Tax-Exempt","Active","NAZARETH HOSPITAL","NAZARETH HOSPITAL","2601 HOLME AVE, PHILADELPHIA PA 19152-2007","2601 HOLME AVE, PHILADELPHIA PA 19152-2007",NA,NA,"Philadelphia County","Philadelphia City","Oct 4,2024","Dec 31,2028",-75.041675,40.0589588
"3",96220,"AN40338","Alcohol Non-Beverage","Active","EARTH CRAFT LLC","EARTH CRAFT LLC","1772 FRANKFORD AVE, PHILADELPHIA PA 19125","1772 FRANKFORD AVE, PHILADELPHIA PA 19125",NA,NA,"Philadelphia County","Philadelphia City","Mar 28,2025","Dec 31,2028",-75.1322277,39.9764722
"4",123331,"AN57094","Alcohol Non-Beverage","Active","AMERICAN PHILOSOPHICAL SOCIETY","CONSERVATION LABORATORY","427 CHESTNUT ST, PHILADELPHIA PA 19106-2426","427 CHESTNUT ST, PHILADELPHIA PA 19106-2426",NA,NA,"Philadelphia County","Philadelphia City","Oct 18,2024","Dec 31,2028",-75.1485399,39.9490456
"5",128146,"AN59077","Alcohol Non-Beverage","Active","VINTABIO INC","VINTABIO INC","4050 S 26TH ST, PHILADELPHIA PA 19112-1615","4050 S 26TH ST, PHILADELPHIA PA 19112-1615",NA,NA,"Philadelphia County","Philadelphia City","Dec 11,2024","Dec 31,2028",-75.1948463,39.8996832
"6",117213,"AN53708","Alcohol Non-Beverage","Active","COORDNA BIO INC","CIC PHILADELPHIA","3675 MARKET ST STE 101, PHILADELPHIA PA 19104-2897","3675 MARKET ST, STE 200, PHILADELPHIA PA 19104-2897",NA,NA,"Philadelphia County","Philadelphia City","Sep 11,2024","Dec 31,2028",-75.1950287,39.9561126
"7",83883,"AN32452","Alcohol Non-Beverage","Active","FRONTIDA BIOPHARM INC","FRONTIDA BIOPHARM INC","7722 DUNGAN  RD, PHILADELPHIA PA 19111","7722 DUNGAN  RD, PHILADELPHIA PA 19111",NA,NA,"Philadelphia County","Philadelphia City","Aug 27,2026","Dec 31,2028",-75.0733431,40.0639838
"8",133040,"AN61418","Alcohol Non-Beverage","Active","LEGEND BIOTECH CORP","LEGEND BIOTECH","2300 MARKET ST FLOOR 3, PHILADELPHIA PA 19103","2300 MARKET ST FLOOR 3, PHILADELPHIA PA 19103",NA,NA,"Philadelphia County","Philadelphia City","Oct 9,2025","Dec 31,2028",-75.1783517,39.9540039
"9",87610,"AN34926","Alcohol Non-Beverage","Active","ATGC INC","ATGC INC","1004 W 9TH AVENUE SUITE 10, KING OF PRUSSIA PA 19406","1004 W 9TH AVENUE SUITE 10, KING OF PRUSSIA PA 19406",NA,NA,"Philadelphia County","Philadelphia City","Aug 4,2026","Dec 31,2028",-75.4130765,40.1021925
"10",132718,"AR61631","Airport Restaurant (Liquor)","Active","THE GROVE/M2 JV LLC","PRETZELS & PINTS","PHILADELPHIA INTERNATIONAL AIRPORT  8500 ESSINGTON AVE  TERMINAL A EAST SPACE AE-BAR TOP A, PHILADELPHIA PA 19153","3 WESTBROOK CORPORATE CTR STE 500, WESTCHESTER IL 60154-5796","CITY OF PHILADELPHIA","RICHARD K GEE","Philadelphia County","Philadelphia City","Apr 30,2026","Oct 31,2026",-75.2436987,39.8729797
"11",130662,"AR61057","Airport Restaurant (Liquor)","Active","JACKMONT OF PHILADELPHIA LLC","OYSTER HOUSE","8500 ESSINGTON AVE 2ND FL B&C CONNECTOR SPACE #BC13, PHILADELPHIA PA 19153-7027","1760 PEACHTREE ST NW STE 200, ATLANTA GA 30309-2335","CITY OF PHILADELPHIA","THOMAS J HENNEMAN","Philadelphia County","Philadelphia City","Sep 2,2025","Oct 31,2026",-75.2418899,39.8787479
"12",120005,"AR56036","Airport Restaurant (Liquor)","Active","AIRPORT DINING INC.","SABRINA'S CAFE","8500 ESSINGTON AVE TERMINAL C -SPACE C5/C6, PHILADELPHIA PA 19153-3755","8500 ESSINGTON AVE TERMINAL C -SPACE C5/C6, PHILADELPHIA PA 19153-3755","MARKETPLACE PHL LLC","LANG T DO-BATTISTA","Philadelphia County","Philadelphia City","Aug 28,2025","Oct 31,2026",-75.2418899,39.8787479
"13",84267,"C2796","Club (Liquor)","Safekeeping","SAM GLAWEAH FOUNDATION INC","SAM GLAWEAH FOUNDATION INC","2515 ISLAND AVE, PHILADELPHIA PA 19153-2226","2515 ISLAND AVE, PHILADELPHIA PA 19153-2226","MOHAMED D EL AHWANY","SAM J GLAWEAH","Philadelphia County","Philadelphia City","Feb 20,2026","Oct 31,2026",-75.2427717,39.9124553
"14",41468,"C3018","Club (Liquor)","Active","IUPAT DISTRICT COUNCIL 21","IUPAT DISTRICT COUNCIL 21","2980 SOUTHAMPTON-BYBERRY RD, PHILADELPHIA PA 19154-1202","2980 SOUTHAMPTON-BYBERRY RD, PHILADELPHIA PA 19154-1202","JOSEPH T ASHDALE","DEBORAH ANCONE","Philadelphia County","Philadelphia City","Oct 15,2025","Oct 31,2026",-74.9822118,40.102594
"15",1780,"C3866","Club (Liquor)","Active","PHILADELPHIA FIRE OFFICERS UNION","PHILADELPHIA FIRE OFFICERS UNION","2500-02 LEFEVRE ST, PHILADELPHIA PA 19137","2500-02 LEFEVRE ST, PHILADELPHIA PA 19137","PHILADELPHIA FIRE OFFICERS UNION","LISA SHOUSKY","Philadelphia County","Philadelphia City","Aug 11,2025","Oct 31,2026",-75.0745793,40.002951
"16",1713,"C3679","Club (Liquor)","Active","CPL. JOHN LOUDENSLAGER POST NO 366 AMERICAN LEGION","CPL. JOHN LOUDENSLAGER POST NO 366 AMERICAN LEGION","7976 OXFORD AVE, PHILADELPHIA PA 19111-2241","7976 OXFORD AVE, PHILADELPHIA PA 19111-2241","CPL. JOHN LOUDENSLAGER POST NO 366 AMERICAN LEGION","WALLACE J QUINLAN","Philadelphia County","Philadelphia City","Sep 23,2025","Oct 31,2026",-75.085525,40.0768258
"17",941,"C1420","Club (Liquor)","Active","VETERANS HOME ASSOCIATION OF PENN CENTRAL POST 204","VETERANS HOME ASSOCIATION OF PENN CENTRAL POST 204","3924 CHESTNUT ST, PHILADELPHIA PA 19104-3111","3924 CHESTNUT ST, PHILADELPHIA PA 19104-3111","VETERANS HOME ASSOCIATION OF PENN CENTRAL POST 204","HENRY P MCILHENNY","Philadelphia County","Philadelphia City","May 5,2026","Oct 31,2026",-75.20137,39.9552973
"18",703,"C763","Club (Liquor)","Active","BOLESLAW GROCHOWSKI AMERICAN LEGION POST 396","BOLESLAW GROCHOWSKI AMERICAN LEGION POST 396","2171 WAKELING ST, PHILADELPHIA PA 19124","2171 WAKELING ST, PHILADELPHIA PA 19124","BOLESLAW GROCHOWSKI POST 396","PATRICK  J DRISCOLL II","Philadelphia County","Philadelphia City","Nov 6,2025","Oct 31,2026",-75.0722584,40.0103976
"19",3431,"CC3314","Catering Club (Liquor)","Active","THE KNIGHTS OF COLUMBUS HOME ASSOCIATION OF HOLMESBURG","THE KNIGHTS OF COLUMBUS HOME ASSOCIATION OF HOLMESBURG","3300 KNORR ST, PHILADELPHIA PA 19149-2629","3300 KNORR ST, PHILADELPHIA PA 19149-2629","THE KNIGHTS OF COLUMBUS HOME ASSOCIATION OF HOLMESBURG","TIMOTHY M THOMSON","Philadelphia County","Philadelphia City","Sep 25,2025","Oct 31,2026",-75.052034,40.0326952
"20",2822,"CC28","Catering Club (Liquor)","Active","THE PHILADELPHIA CLUB","THE PHILADELPHIA CLUB","1301 WALNUT ST, PHILADELPHIA PA 19107-4517","1301 WALNUT ST, PHILADELPHIA PA 19107-4517","THE PHILADELPHIA CLUB","GUY H HODGSON","Philadelphia County","Philadelphia City","Oct 14,2025","Oct 31,2026",-75.162263,39.9492955
"21",2898,"CC279","Catering Club (Liquor)","Active","THE ACORN CLUB","THE ACORN CLUB","1519 LOCUST ST, PHILADELPHIA PA 19102-3721","1519 LOCUST ST, PHILADELPHIA PA 19102-3721","THE ACORN CLUB","JENNIFER GALLAGHER","Philadelphia County","Philadelphia City","Aug 20,2026","Oct 31,2026",-75.1670785,39.9487426
"22",72496,"D3915","Distributor (Malt)","Active","1729 RIDDHI SHIDDI LLC","1729 RIDDHI SHIDDI LLC","1733-39 S 20TH ST, PHILADELPHIA PA 19145-2041","1733-39 S 20TH ST, PHILADELPHIA PA 19145-2041",NA,"KETANKUMAR B PATEL","Philadelphia County","Philadelphia City","Sep 9,2025","Oct 31,2026",-75.1782273,39.9294804
"23",25237,"D3809","Distributor (Malt)","Active","ANJON, INC.","ANJON, INC.","5008-10-12-14 LANCASTER AVE, PHILADELPHIA PA 19131","5008-10-12-14 LANCASTER AVE, PHILADELPHIA PA 19131",NA,"ANTHONY CATALANO JR","Philadelphia County","Philadelphia City","Sep 19,2025","Oct 31,2026",-75.2230058,39.9751521
"24",117592,"D3621","Distributor (Malt)","Active","C&L 2023 BEVERAGE INC","C&L 2023 BEVERAGE INC","6310 N BROAD ST, PHILADELPHIA PA 19141-2010","6310 N BROAD ST, PHILADELPHIA PA 19141-2010","TANG & HUANG LLC","JIN Y HUANG","Philadelphia County","Philadelphia City","Aug 18,2025","Oct 31,2026",-75.143015,40.049774
"25",71765,"D1689","Distributor (Malt)","Active","THIRTY NINE POINT FIVE INC","THIRTY NINE POINT FIVE INC","ACADEMY PLAZA SHOPPING CTR  3290 RED LION RD, PHILADELPHIA PA 19114-1109","ACADEMY PLAZA SHOPPING CTR  3290 RED LION RD, PHILADELPHIA PA 19114-1109",NA,"EDWARD BOND","Philadelphia County","Philadelphia City","Aug 6,2025","Oct 31,2026",-74.9936261,40.0799787
"26",93521,"D1963","Distributor (Malt)","Active","VALUE BEVERAGE INC","VALUE BEVERAGE INC","5901 WOODLAND AVE, PHILADELPHIA PA 19143","5901 WOODLAND AVE, PHILADELPHIA PA 19143","HAE PARK","SUNG M PARK","Philadelphia County","Philadelphia City","Oct 22,2025","Oct 31,2026",-75.2267175,39.9319489
"27",37699,"E1551","Eating Place Retail Dispenser (Malt)","Active","T & J SUSQUEHANNA, INC.","T & J SUSQUEHANNA, INC.","1201-03 W SUSQUEHANNA AVE, PHILADELPHIA PA 19122-1109","1201-03 W SUSQUEHANNA AVE, PHILADELPHIA PA 19122-1109",NA,"LEURY N LOPEZ OVALLE","Philadelphia County","Philadelphia City","Aug 5,2025","Oct 31,2026",-75.1525999,39.986006
"28",61017,"E368","Eating Place Retail Dispenser (Malt)","Active","NEW 1634 DELI INC","NEW 1634 DELI INC","1634 CECIL B MOORE AVE, PHILADELPHIA PA 19121-3229","1634 CECIL B MOORE AVE, PHILADELPHIA PA 19121-3229",NA,"JONG DO","Philadelphia County","Philadelphia City","Oct 20,2025","Oct 31,2026",-75.1626303,39.9791199
"29",54570,"E313","Eating Place Retail Dispenser (Malt)","Active","5215 MARKET, INC.","5215 MARKET, INC.","5215-17 MARKET ST, PHILADELPHIA PA 19139-3418","5215-17 MARKET ST, PHILADELPHIA PA 19139-3418",NA,"PETER LY","Philadelphia County","Philadelphia City","Jul 22,2025","Oct 31,2026",-75.2254615,39.9603489
"30",87142,"E551","Eating Place Retail Dispenser (Malt)","Active","GODFREY BEER & DELI TAKEOUT INC","GODFREY BEER & DELI TAKEOUT INC","910 W GODFREY AVE, PHILADELPHIA PA 19120","910 W GODFREY AVE, PHILADELPHIA PA 19120",NA,"YASMIN M MEDINA DE VASQUEZ","Philadelphia County","Philadelphia City","Jul 16,2025","Oct 31,2026",-75.1355762,40.0460695
"31",5766,"E4588","Eating Place Retail Dispenser (Malt)","Active","240 WEST CHELTEN ENTERPRISES INC","240 WEST CHELTEN ENTERPRISES INC","240 W CHELTEN AVE, PHILADELPHIA PA 19144-3803","240 W CHELTEN AVE, PHILADELPHIA PA 19144-3803",NA,"KYUNG KIM","Philadelphia County","Philadelphia City","Oct 16,2025","Oct 31,2026",-75.1799381,40.0303843
"32",57447,"E150","Eating Place Retail Dispenser (Malt)","Active","LA FAMILIA LATINA SUPERMARKET INC","LA FAMILIA LATINA SUPERMARKET INC","3357-61 N 5TH ST, PHILADELPHIA PA 19140-5601","3357-61 N 5TH ST, PHILADELPHIA PA 19140-5601",NA,"MIGUEL MONEGRO","Philadelphia County","Philadelphia City","Jul 8,2025","Oct 31,2026",-75.1376952,40.0026227
"33",108084,"G49373","Brewery","Active","OHB PA LLC","OTHER HALF BREWERY","1000-1002 CANAL ST, PHILADELPHIA PA 19123","195 CENTRE ST , BROOKLYN NY 11231-3907","AP 33-51 LAUREL ST LLC","JACQUELYN M TANCREDI","Philadelphia County","Philadelphia City","Sep 22,2025","Dec 31,2026",-75.1352702,39.9645623
"34",85529,"G36505","Brewery","Active","LOVE CITY BREWING COMPANY","LOVE CITY BREWING COMPANY","1016 BUTTONWOOD ST, PHILADELPHIA PA 19123-3703","36 W DUVAL ST, PHILADELPHIA PA 19144-1904","ARTS AND CRAFTS HOLDINGS, LLC","KEVIN D WALTER","Philadelphia County","Philadelphia City","Nov 18,2025","Dec 31,2026",-75.1555181,39.9605089
"35",119604,"G58889","Brewery","Active","MIGHTY BREAD COMPANY, LLC","MIGHTY BREAD COMPANY","1211 GERRITT ST, PHILADELPHIA PA 19147-","1211 GERRITT ST, PHILADELPHIA PA 19147-","1202 REED ST ASSOCIATES INC","CHRISTOPHER DIPIAZZA","Philadelphia County","Philadelphia City","Aug 17,2026","Dec 31,2026",-75.1648496,39.9321872
"36",120981,"G61019","Brewery","Active","WISSAHICKON BREWING CO., LLC","WISSAHICKON BREWING COMPANY OLDE KENSINGTON","1526 N AMERICAN ST, PHILADELPHIA PA 19122-3811",NA,NA,"LUCAS J GILL","Philadelphia County","Philadelphia City","Dec 22,2025","Dec 31,2026",-75.1401764,39.9745986
"37",73101,"G646","Brewery","Active","BREWERY ARS LLC","BREWERY ARS LLC","1927-1929 W PASSYUNK AVE, PHILADELPHIA PA 19145-3620","PO BOX 88, HARRISBURG PA 17108-0088",NA,"SEAN A ARSENAULT","Philadelphia County","Philadelphia City","Aug 27,2026","Dec 31,2026",-75.1788483,39.9239987
"38",36088,"G271","Brewery","Safekeeping","PHILADELPHIA BEER WORKS, INC.","PHILADELPHIA BEER WORKS, INC.","4118 MAIN ST, PHILADELPHIA PA 19127-1618","4118 MAIN ST, PHILADELPHIA PA 19127-1618",NA,"MICHAEL ROSE","Philadelphia County","Philadelphia City","May 18,2026","Dec 31,2026",-75.2194599,40.0227364
"39",104863,"GA46326","Grain Alcohol","Active","MATTHEW BENNETT WALKER","MATTHEW BENNETT WALKER","261 E MEEHAN AVE, PHILADELPHIA PA 19119","261 E MEEHAN AVE, PHILADELPHIA PA 19119",NA,NA,"Philadelphia County","Philadelphia City","Jan 15,2021","Dec 31,2026",-75.1831727,40.0586063
"40",67423,"H3599","Hotel (Liquor)","Safekeeping","1155-57 N FRONT ST INC","1155-57 N FRONT ST INC","1155-57 N FRONT ST, PHILADELPHIA PA 19123-1705","1155-57 N FRONT ST, PHILADELPHIA PA 19123-1705",NA,"MICHAEL C MILICIA","Philadelphia County","Philadelphia City","Oct 1,2025","Oct 31,2026",-75.1361816,39.9686925
"41",129595,"H61268","Hotel (Liquor)","Active","SWITCH HOUSE LLC","THE SWITCH HOUSE","1325 BEACH ST, PHILADELPHIA PA 19125-4488","1412 MT VERNON ST, PHILADELPHIA PA 19130-3472","L-A BATTERY QOZ LLC","SHANNON M SMITH","Philadelphia County","Philadelphia City","Oct 14,2025","Oct 31,2026",-75.1266614,39.9674113
"42",88035,"H36509","Hotel (Liquor)","Active","HERSHA HOSPITALITY MANAGEMENT LP","THE WESTIN PHILADELPHIA","99 S 17TH ST, PHILADELPHIA PA 19103-4217","99 S 17TH ST, PHILADELPHIA PA 19103-4217","HERSHA HOSPITALITY MANAGEMENT LP","DOUGLAS M NELSON","Philadelphia County","Philadelphia City","Aug 8,2025","Oct 31,2026",-75.1682327,39.952021
"43",68070,"H5991","Hotel (Liquor)","Active","DJONT/JPM HOSPITALITY LEASING (SPE) LLC","WYNDHAM PHILADELPHIA HIST DIST","400 ARCH ST, PHILADELPHIA PA 19106-2120","400 ARCH ST, PHILADELPHIA PA 19106-2120",NA,"JOHN KARCHNER","Philadelphia County","Philadelphia City","Jul 29,2025","Oct 31,2026",-75.147515,39.9520404
"44",96574,"H43231","Hotel (Liquor)","Active","CL1 PHILADELPHIA LLC","CL1 PHILADELPHIA LLC","2 FRANKLIN PLAZA, PHILADELPHIA PA 19103-1282","3363 NE 163RD ST #601, NORTH MIAMI BEACH FL 33160","CL1 PHILADELPHIA LLC","CHARLES M GOLDBERG","Philadelphia County","Philadelphia City","Aug 15,2025","Oct 31,2026",-75.1466083,39.983586
"45",98140,"H43639","Hotel (Liquor)","Active","SOUTH 19TH STREET LP","SOUTH 19TH STREET LP","31 S 19TH ST, PHILADELPHIA PA 19103","31 S 19TH ST, PHILADELPHIA PA 19103","SOUTH 19TH STREET LP","GREGORY W ROOT","Philadelphia County","Philadelphia City","Aug 12,2026","Oct 31,2026",-75.1717214,39.9525105
"46",45473,"H5831","Hotel (Liquor)","Active","STOUT ROAD ASSOCIATES, INC","HILTON PHILADELPHIA CITY AVE","4200 CITY LINE AVE, PHILADELPHIA PA 19151","4200 CITY LINE AVE, PHILADELPHIA PA 19151",NA,"HOWARD J WURZAK","Philadelphia County","Philadelphia City","Aug 12,2025","Oct 31,2026",-75.2695766,39.9789048
"47",51346,"ID45826","Importing Distributor (Malt)","Active","MOORE BEVERAGES, INC.","MOORE BEVERAGES, INC.","601-613 MOORE ST, PHILADELPHIA PA 19148-1715","601-613 MOORE ST, PHILADELPHIA PA 19148-1715","HOR KOCH","HOR KOCH","Philadelphia County","Philadelphia City","Oct 16,2025","Oct 31,2026",-75.1560886,39.9266145
"48",66934,"J178","Bailee For Hire","Active","SKY CHEFS INC","LSG SKY CHEFS","8401 ESCORT ST, PHILADELPHIA PA 19153-3826","8401 ESCORT ST, PHILADELPHIA PA 19153-3826",NA,NA,"Philadelphia County","Philadelphia City","Jan 5,2026","Dec 31,2026",-75.22959,39.885309
"49",95673,"PAF42867","Performing Arts Facility","Safekeeping","1812 PRODUCTIONS INC","PLAYS AND PLAYERS","1714 DELANCEY PL, PHILADELPHIA PA 19103","2329 S 3RD ST, PHILADELPHIA PA 19148",NA,"PETER J MARSHALL","Philadelphia County","Philadelphia City","Jun 4,2026","Oct 31,2026",-75.1703682,39.9468223
"50",88260,"PV36662","Public Venue Restaurant","Active","OVATIONS FOOD SERVICES LP","NATIONAL CENTER FOR THE AMERICAN REVOLUTION","101 S 3RD ST, PHILADELPHIA PA 19106","520 N COLUMBUS AVE STE 303, PHILADELPHIA PA 19123","NATIONAL CENTER FOR THE AMERICAN REVOLUTION","DERRICK BLALOCK","Philadelphia County","Philadelphia City","Jan 6,2026","Oct 31,2026",-75.1457547,39.9483203
"51",104749,"PV46538","Public Venue Restaurant","Active","LEVY PREMIUM FOODSERVICE LP","THE FRANKLIN INSTITUTE","222 N 20TH ST, PHILADELPHIA PA 19103-1115","SKENE LAW FIRM PC  ATTN LINDSEY FARINA  2614 HIGHWAY 516 FL 2, OLD BRIDGE NJ 08857",NA,"THOMAS H WHELAN","Philadelphia County","Philadelphia City","Feb 17,2026","Oct 31,2026",-75.1731347,39.9582109
"52",72872,"PV177","Public Venue Restaurant","Active","PAFA JVLL HOLDINGS LLC","PENNSYLVANIA ACADEMY OF THE FINE ARTS","118-128 N BROAD ST, PHILADELPHIA PA 19102-1510","775 WOODLANDS PKY SUITE 100, RIDGELAND MS 39157",NA,"KATHRYN YOUNG-COPPA","Philadelphia County","Philadelphia City","Dec 30,2025","Oct 31,2026",-75.1634761,39.9556147
"53",69567,"R8624","Restaurant (Liquor)","Active","BC PHILLY INC","BC PHILLY INC","1020 CHERRY ST, PHILADELPHIA PA 19107","1020 CHERRY ST, PHILADELPHIA PA 19107",NA,"DAVID C H TAING","Philadelphia County","Philadelphia City","Jan 23,2026","Oct 31,2026",-75.1571831,39.9544013
"54",112368,"R7668","Restaurant (Liquor)","Active","ZKD HOSPITALITY LLC","FOUNDING FATHERS SPORTS BAR & GRILL","1612-1616 SOUTH ST, PHILADELPHIA PA 19146-1542","1612-1616 SOUTH ST, PHILADELPHIA PA 19146-1542","CARLYLE 1612 SOUTH STREET, LP","ZECHARIAH R LEEPER","Philadelphia County","Philadelphia City","Aug 12,2025","Oct 31,2026",-75.1692787,39.9439544
"55",97269,"R1977","Restaurant (Liquor)","Active","GIRARD 317 LLC","GIRARD 317 LLC","317-319 E GIRARD AVE, PHILADELPHIA PA 19125-3918","724 BRIGHTON ST, PHILADELPHIA PA 19111","KENNETH HEPWORTH","JUNAID JAVED","Philadelphia County","Philadelphia City","Oct 21,2025","Oct 31,2026",-75.1313636,39.9701135
"56",106146,"R7231","Restaurant (Liquor)","Active","NOMNOL INC","NOMNOL INC","1215 N 52ND ST, PHILADELPHIA PA 19131-4411","1215 N 52ND ST, PHILADELPHIA PA 19131-4411","1215 ENTERPRISES, LLC","SHONDA D WILMORE","Philadelphia County","Philadelphia City","May 12,2026","Oct 31,2026",-75.2256519,39.971903
"57",71182,"R7606","Restaurant (Liquor)","Active","CHEW FOODS LLC","CHEW FOODS LLC","5301 CHEW AVE, PHILADELPHIA PA 19138-2803","5301 CHEW AVE, PHILADELPHIA PA 19138-2803",NA,"THOMAS HEPP","Philadelphia County","Philadelphia City","Aug 21,2025","Oct 31,2026",-75.1596049,40.0430606
"58",111166,"R14165","Restaurant (Liquor)","Active","GRANDMAS CENTER CITY LLC","GRANDMAS PHILLY","1304 WALNUT ST, PHILADELPHIA PA 19107","1304 WALNUT ST, PHILADELPHIA PA 19107","Segal Segal & Lieberman","JAN R BROOKES","Philadelphia County","Philadelphia City","Feb 11,2026","Oct 31,2026",-75.1624159,39.9489101
"59",115126,"R873","Restaurant (Liquor)","Active","EIFFEL SEAFOOD RESTAURANT INC","EIFFEL SEAFOOD RESTAURANT","2301 OREGON AVE UNIT #7, PHILADELPHIA PA 19145","2301 OREGON AVE UNIT #7, PHILADELPHIA PA 19145","CEDAR-SOUTH PHILADELPHIA I LLC","ANTHONY TRAN","Philadelphia County","Philadelphia City","Aug 13,2025","Oct 31,2026",-75.186366,39.9194041
"60",100200,"R12603","Restaurant (Liquor)","Active","AMBROSIA RISTORANTE LLC","AMBROSIA RISTORANTE LLC","231-233 S 24TH ST, PHILADELPHIA  PA 19103-5529","231 S 24TH ST, PHILADELPHIA PA 19103-5529","NIKOLAOS MITOULIS & STERGIANI MITOULIS","JORGAQ PROFI","Philadelphia County","Philadelphia City","Sep 23,2025","Oct 31,2026",-75.1796424,39.9500029
"61",51538,"R9047","Restaurant (Liquor)","Active","CHHUONG, INC.","CHHUONG, INC.","2113 W DAUPHIN ST, PHILADELPHIA PA 19132-4814","2113 W DAUPHIN ST, PHILADELPHIA PA 19132-4814",NA,"YOANNY E ALMONTE COLLADO","Philadelphia County","Philadelphia City","Aug 15,2025","Oct 31,2026",-75.1679038,39.9895955
"62",120866,"R13762","Restaurant (Liquor)","Active","NIPPYS LLC","NIPPYS LLC","4219 MAIN ST, PHILADELPHIA PA 19127","4219 MAIN ST, PHILADELPHIA PA 19127","DELANCEY MAIN STREET LLC","CRAIG WERTZ","Philadelphia County","Philadelphia City","Jun 9,2026","Oct 31,2026",-75.2205155,40.0241588
"63",69790,"R3824","Restaurant (Liquor)","Active","OLD ROW INC","OLD ROW INC","1801 LOMBARD ST, PHILADELPHIA PA 19146-1409","1801 LOMBARD ST, PHILADELPHIA PA 19146-1409",NA,"PETER HWANG","Philadelphia County","Philadelphia City","Nov 5,2025","Oct 31,2026",-75.1717873,39.9456145
"64",123175,"R2922","Restaurant (Liquor)","Active","DB GOURMET MARKETS LLC","DIBRUNO BROS","920 S 9TH ST, PHILADELPHIA PA 19147-3939","920 S 9TH ST, PHILADELPHIA PA 19147-3939","M FAMILY REAL ESTATE HOLDINGS, LP","JERVON C BELL","Philadelphia County","Philadelphia City","Dec 1,2025","Oct 31,2026",-75.158155,39.938296
"65",71225,"R10734","Restaurant (Liquor)","Active","223 SUPPER CLUB LLC","223 SUPPER CLUB LLC","223 S SYDENHAM ST, PHILADELPHIA PA 19102-3734","223 S SYDENHAM ST, PHILADELPHIA PA 19102-3734",NA,"BRENDAN SMITH","Philadelphia County","Philadelphia City","Oct 20,2025","Oct 31,2026",-75.1667289,39.9488876
"66",104629,"R8515","Restaurant (Liquor)","Active","13TH & SANSOM RESTAURANT GROUP LLC","13TH & SANSOM RESTAURANT GROUP LLC","112 S 13TH ST, PHILADELPHIA PA 19107-4532","1525 SANSOM ST 2ND FL, PHILADELPHIA PA 19102-2803","PHILADELPHIA BUILDING ASSOCIATION LLC","KIMBERLY B FENTON","Philadelphia County","Philadelphia City","Jun 26,2026","Oct 31,2026",-75.1621737,39.9499506
"67",132602,"R5588","Restaurant (Liquor)","Active","MANDARANO'S FOOD LLC","MANDARANO'S FOOD LLC","8624 GERMANTOWN AVE, PHILADELPHIA PA 19118","8624 GERMANTOWN AVE, PHILADELPHIA PA 19118","BOWMAN PROPERTIES LTD","FRANCESCO A MANDARANO","Philadelphia County","Philadelphia City","Jan 20,2026","Oct 31,2026",-75.2085916,40.0769784
"68",105337,"R6869","Restaurant (Liquor)","Active","TGGTP HOSPITALITY GROUP LLC","TGGTP HOSPITALITY LLC","222 MARKET ST, PHILADELPHIA PA 19106-2815","222 MARKET ST, PHILADELPHIA PA 19106-2815","PREMIER REAL ESTATE PARTNERS LP","WAYNE H SHULICK","Philadelphia County","Philadelphia City","Jul 10,2026","Oct 31,2026",-75.1446065,39.9498011
"69",108726,"R277","Restaurant (Liquor)","Active","BUCADORO LLC","BUCADORO LLC","WASHINGTON WEST BLDG N E COR  8TH & LOCUST STS BASEMENT, PHILADELPHIA PA 19106-3524","3042 CEDAR ST, PHILADELPHIA PA 19134","JOHN M PERUTO, ESQ.","DENIS GJANA","Philadelphia County","Philadelphia City","Aug 5,2025","Oct 31,2026",-76.9949636,38.949361
"70",114337,"R11190","Restaurant (Liquor)","Active","CHUBBY CATTLE PHILADELPHIA LLC","CHUBBY CATTLE","146 N 10TH ST, PHILADELPHIA PA 19107-2309","146 N 10TH ST, PHILADELPHIA PA 19107-2309","KIT FON LAW & MEI NU ZHAO","HAO LI","Philadelphia County","Philadelphia City","Oct 27,2025","Oct 31,2026",-75.1562282,39.9549925
"71",66897,"R3648","Restaurant (Liquor)","Active","OROCOVIS BAR INC","OROCOVIS BAR INC","400-402 W CUMBERLAND ST, PHILADELPHIA PA 19133-3011","400-402 W CUMBERLAND ST, PHILADELPHIA PA 19133-3011",NA,"JUAN RIVERA","Philadelphia County","Philadelphia City","Aug 19,2025","Oct 31,2026",-75.1391918,39.9886495
"72",64527,"R210","Restaurant (Liquor)","Active","LA CUEVA BAR INC","LA CUEVA BAR INC","2965 N 3RD ST, PHILADELPHIA PA 19133-3206","2965 N 3RD ST, PHILADELPHIA PA 19133-3206",NA,"LYDIA RIVERA","Philadelphia County","Philadelphia City","Sep 19,2025","Oct 31,2026",-75.1361434,39.9961846
